ID;Job Title;Salary Estimate;Rating;Company Name;Location;Headquarters;Size;Founded;Type of ownership;Industry;Sector;Revenue;Competitors
307;Data Engineer;$48K-$93K (Glassdoor est.);3.7;P2 Energy Solutions;Lafayette, LA;Denver, CO;501 to 1000 employees;-1;Company - Private;Computer Hardware & Software;Information Technology;Unknown / Non-Applicable;-1
308;Computational Chemist/Data Scientist;$56K-$97K (Glassdoor est.);3.8;PNNL;Richland, WA;Richland, WA;1001 to 5000 employees;1965;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory
309;Data Engineer;$65K-$119K (Glassdoor est.);3.6;MassMutual;Springfield, MA;Springfield, MA;5001 to 10000 employees;1851;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);-1
310;Principal Data Scientist (Computational Chemistry);$108K-$173K (Glassdoor est.);4.7;Recursion Pharmaceuticals;Salt Lake City, UT;Salt Lake City, UT;51 to 200 employees;2013;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $5 million (USD);-1
311;Product Engineer – Data Science;$63K-$101K (Glassdoor est.);3.5;Esri;Arlington, VA;Redlands, CA;1001 to 5000 employees;1969;Company - Private;Computer Hardware & Software;Information Technology;$1 to $2 billion (USD);Pitney Bowes
312;Principal Scientist, Chemistry & Immunology;$54K-$115K (Glassdoor est.);3.3;Rochester Regional Health;Rochester, NY;Rochester, NY;10000+ employees;2014;Hospital;Health Care Services & Hospitals;Health Care;$500 million to $1 billion (USD);-1
313;Scientist/Senior Scientist, Autoimmune;$90K-$179K (Glassdoor est.);4.4;Rubius Therapeutics;Cambridge, MA;Cambridge, MA;201 to 500 employees;2013;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$100 to $500 million (USD);-1
314;Data Scientist;$127K-$202K (Glassdoor est.);3.3;Samba TV;San Francisco, CA;San Francisco, CA;201 to 500 employees;2008;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable;-1
315;Market Data Analyst;$31K-$57K (Glassdoor est.);3.4;SV Microwave;West Palm Beach, FL;West Palm Beach, FL;201 to 500 employees;1991;Company - Public;Telecommunications Manufacturing;Telecommunications;$50 to $100 million (USD);-1
316;Software Engineer - Data Visualization;$60K-$127K (Glassdoor est.);4;ClearEdge;Annapolis Junction, MD;Annapolis Junction, MD;51 to 200 employees;2002;Company - Private;Computer Hardware & Software;Information Technology;$5 to $10 million (USD);-1
