ID;Job Title;Salary Estimate;Rating;Company Name;Location;Headquarters;Size;Founded;Type of ownership;Industry;Sector;Revenue;Competitors
391;Scientist, Pharmacometrics;$84K-$157K (Glassdoor est.);3.8;Agios Pharmaceuticals;Cambridge, MA;Cambridge, MA;501 to 1000 employees;2008;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$50 to $100 million (USD);-1
392;Staff Scientist- Upstream PD;$49K-$113K (Glassdoor est.);2.7;Advanced BioScience Laboratories;Rockville, MD;Rockville, MD;201 to 500 employees;1961;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$25 to $50 million (USD);-1
393;Scientist Manufacturing Pharma - Kentucky BioProcessing;$68K-$139K (Glassdoor est.);3.1;Reynolds American;Owensboro, KY;Winston-Salem, NC;5001 to 10000 employees;1875;Company - Private;Consumer Products Manufacturing;Manufacturing;$10+ billion (USD);-1
394;Sr. Data Engineer;$75K-$140K (Glassdoor est.);3.4;Echo Global Logistics;Chicago, IL;Chicago, IL;1001 to 5000 employees;2005;Company - Public;Transportation Management;Transportation & Logistics;$2 to $5 billion (USD);C.H. Robinson, Total Quality Logistics, Coyote Logistics
395;Lead Big Data Engineer;$121K-$203K (Glassdoor est.);4;Glassdoor;San Francisco, CA;Mill Valley, CA;1001 to 5000 employees;2007;Company - Private;Internet;Information Technology;Unknown / Non-Applicable;Indeed, LinkedIn
396;Product Engineer – Spatial Data Science and Statistical Analysis;$52K-$85K (Glassdoor est.);3.5;Esri;Redlands, CA;Redlands, CA;1001 to 5000 employees;1969;Company - Private;Computer Hardware & Software;Information Technology;$1 to $2 billion (USD);Pitney Bowes
397;Sr Software Engineer (Data Scientist);$81K-$140K (Glassdoor est.);3.4;Assurant;Westlake, OH;New York, NY;10000+ employees;1978;Company - Public;Insurance Carriers;Insurance;$5 to $10 billion (USD);Asurion, SquareTrade, National General Insurance
398;College Hire - Data Scientist - Open to December 2019 Graduates;$63K-$99K (Glassdoor est.);3.7;Caterpillar;Peoria, IL;Deerfield, IL;10000+ employees;1925;Company - Public;Industrial Manufacturing;Manufacturing;$10+ billion (USD);John Deere, Komatsu, CNH Industrial
399;Senior Data Scientist;$110K-$150K(Employer est.);4.3;Equity Residential;Chicago, IL;Chicago, IL;1001 to 5000 employees;1993;Company - Public;Real Estate;Real Estate;$2 to $5 billion (USD);UDR, AvalonBay Communities, Essex Property Trust
400;Sr. Data Engineer (ETL Developer);$83K-$148K (Glassdoor est.);3.7;F&G;Des Moines, IA;Des Moines, IA;201 to 500 employees;-1;Subsidiary or Business Segment;Insurance Carriers;Insurance;$100 to $500 million (USD);-1
401;Senior Data Scientist Artificial Intelligence;$60K-$101K (Glassdoor est.);3.8;PNNL;Richland, WA;Richland, WA;1001 to 5000 employees;1965;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory
402;Analytics - Business Assurance Data Analyst;$31K-$55K (Glassdoor est.);4.6;GreatAmerica Financial Services;Cedar Rapids, IA;Cedar Rapids, IA;501 to 1000 employees;1992;Company - Private;Lending;Finance;$100 to $500 million (USD);-1
403;Associate Director/Director, Safety Scientist;$102K-$178K (Glassdoor est.);4.4;Acceleron Pharma;Cambridge, MA;Cambridge, MA;201 to 500 employees;2003;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;Unknown / Non-Applicable;-1
404;Senior Scientist, Cell Pharmacology/Assay Development;Employer Provided Salary:$110K-$130K;-1;Kronos Bio;Cambridge, MA;San Mateo, CA;Unknown;-1;Company - Private;-1;-1;Unknown / Non-Applicable;-1
405;Data Analyst Senior;$48K-$85K (Glassdoor est.);3;AmeriHealth Caritas;Philadelphia, PA;Philadelphia, PA;5001 to 10000 employees;1983;Company - Private;Insurance Carriers;Insurance;$5 to $10 billion (USD);UnitedHealth Group, Molina Healthcare, Centene
406;Lead Data Engineer (Python);$66K-$123K (Glassdoor est.);4.7;Strategic Employment Partners;San Francisco, CA;Los Angeles, CA;51 to 200 employees;2006;Company - Private;Staffing & Outsourcing;Business Services;$1 to $5 million (USD);-1
407;Senior Data Scientist 4 Artificial Intelligence;$92K-$146K (Glassdoor est.);3.8;PNNL;Seattle, WA;Richland, WA;1001 to 5000 employees;1965;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory
408;Medical Lab Scientist - MLT;$21-$29 Per Hour(Glassdoor est.);3.2;Catholic Health Initiatives;Omaha, NE;Englewood, CO;10000+ employees;1996;Nonprofit Organization;Health Care Services & Hospitals;Health Care;$10+ billion (USD);Dignity Health, Trinity Health
409;Senior Operations Data Analyst, Call Center Operations;$10-$17 Per Hour(Glassdoor est.);2.7;FLEETCOR;Nashville, TN;Peachtree Corners, GA;5001 to 10000 employees;2000;Company - Public;Financial Transaction Processing;Finance;$2 to $5 billion (USD);-1
410;Director II, Data Science - GRS Predictive Analytics;$150K-$239K (Glassdoor est.);3.3;Liberty Mutual Insurance;Chicago, IL;Boston, MA;10000+ employees;1912;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);Travelers, Allstate, State Farm
411;RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT;$52K-$91K (Glassdoor est.);3.9;Southwest Research Institute;San Antonio, TX;San Antonio, TX;1001 to 5000 employees;1947;Nonprofit Organization;Research & Development;Business Services;$500 million to $1 billion (USD);Los Alamos National Laboratory, Battelle, SRI International
412;Geospatial Software Developer and Data Scientist;$82K-$129K(Employer est.);3.7;Applied Research Laboratories;Austin, TX;Austin, TX;501 to 1000 employees;-1;College / University;Colleges & Universities;Education;Unknown / Non-Applicable;-1
413;Senior Scientist - Toxicologist - Product Integrity (Stewardship);$47K-$101K (Glassdoor est.);3.1;Reynolds American;Winston-Salem, NC;Winston-Salem, NC;5001 to 10000 employees;1875;Company - Private;Consumer Products Manufacturing;Manufacturing;$10+ billion (USD);-1
414;Systems Engineer II - Data Analyst;$49K-$76K (Glassdoor est.);3.7;Raytheon;Huntsville, AL;Waltham, MA;10000+ employees;1922;Company - Public;Aerospace & Defense;Aerospace & Defense;$10+ billion (USD);-1
415;Senior Research Analytical Scientist-Non-Targeted Analysis;$43K-$88K (Glassdoor est.);4.3;RTI International;Durham, NC;Research Triangle Park, NC;1001 to 5000 employees;1958;Nonprofit Organization;Research & Development;Business Services;$500 million to $1 billion (USD);Westat, Abt Associates, Chemonics International
416;Director Data Science;$124K-$199K (Glassdoor est.);3.6;TRANZACT;Fort Lee, NJ;Fort Lee, NJ;1001 to 5000 employees;1989;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable;-1
417;Sr Data Analyst - IT;$52K-$93K (Glassdoor est.);2.1;United BioSource;Blue Bell, PA;Blue Bell, PA;1001 to 5000 employees;2003;Other Organization;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$100 to $500 million (USD);Covance, ICON
418;Senior Data Engineer;$97K-$181K (Glassdoor est.);3.9;Figure Eight;San Francisco, CA;San Francisco, CA;51 to 200 employees;2008;Company - Public;Computer Hardware & Software;Information Technology;$10 to $25 million (USD);-1
419;Senior Data Engineer;$100K-$173K (Glassdoor est.);3.9;Tapjoy;San Francisco, CA;San Francisco, CA;201 to 500 employees;2007;Company - Private;Internet;Information Technology;$10 to $25 million (USD);FLURRY, Chartboost
420;Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad;$53K-$96K (Glassdoor est.);3.8;Fareportal;New York, NY;New York, NY;1001 to 5000 employees;2002;Company - Private;Travel Agencies;Travel & Tourism;$2 to $5 billion (USD);Expedia Group, Orbitz Worldwide, Priceline.com
421;Senior Scientist - Biostatistician;$65K-$96K (Glassdoor est.);3.1;Reynolds American;Winston-Salem, NC;Winston-Salem, NC;5001 to 10000 employees;1875;Company - Private;Consumer Products Manufacturing;Manufacturing;$10+ billion (USD);-1
422;Data Scientist;$56K-$95K (Glassdoor est.);3.5;Sartorius;Albuquerque, NM;Gottingen, Germany;5001 to 10000 employees;1870;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $2 billion (USD);-1
423;Data Scientist;$111K-$176K (Glassdoor est.);4.7;1904labs;Saint Louis, MO;Saint Louis, MO;51 to 200 employees;2016;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable;Slalom, Daugherty Business Solutions
424;Data Scientist;$75K-$127K (Glassdoor est.);5;Royce Geospatial;Springfield, VA;Arlington, VA;51 to 200 employees;2014;Company - Private;Aerospace & Defense;Aerospace & Defense;$10 to $25 million (USD);-1
425;Data Engineer;$65K-$119K (Glassdoor est.);3.6;MassMutual;Springfield, MA;Springfield, MA;5001 to 10000 employees;1851;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);-1
426;Computational Chemist/Data Scientist;$56K-$97K (Glassdoor est.);3.8;PNNL;Richland, WA;Richland, WA;1001 to 5000 employees;1965;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory
427;Principal Data Scientist (Computational Chemistry);$108K-$173K (Glassdoor est.);4.7;Recursion Pharmaceuticals;Salt Lake City, UT;Salt Lake City, UT;51 to 200 employees;2013;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $5 million (USD);-1
428;Data Scientist;$94K-$139K (Glassdoor est.);3.6;Citi;Jersey City, NJ;New York, NY;10000+ employees;1812;Company - Public;Investment Banking & Asset Management;Finance;$10+ billion (USD);-1
429;Principal Machine Learning Scientist;$176K-$289K (Glassdoor est.);4.7;Sage Intacct;San Francisco, CA;San Jose, CA;501 to 1000 employees;1999;Subsidiary or Business Segment;Computer Hardware & Software;Information Technology;Unknown / Non-Applicable;-1
430;Data Scientist;$92K-$149K (Glassdoor est.);3.5;Scale AI;San Francisco, CA;San Francisco, CA;51 to 200 employees;2016;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1
431;Product Engineer – Data Science;$63K-$101K (Glassdoor est.);3.5;Esri;Arlington, VA;Redlands, CA;1001 to 5000 employees;1969;Company - Private;Computer Hardware & Software;Information Technology;$1 to $2 billion (USD);Pitney Bowes
432;Principal Scientist, Chemistry & Immunology;$54K-$115K (Glassdoor est.);3.3;Rochester Regional Health;Rochester, NY;Rochester, NY;10000+ employees;2014;Hospital;Health Care Services & Hospitals;Health Care;$500 million to $1 billion (USD);-1
433;Data Scientist;$118K-$188K (Glassdoor est.);2.7;Change Healthcare;Emeryville, CA;Nashville, TN;10000+ employees;2007;Company - Public;IT Services;Information Technology;Unknown / Non-Applicable;-1
434;Data Scientist;$108K-$146K (Glassdoor est.);3.4;MZ;Palo Alto, CA;Palo Alto, CA;501 to 1000 employees;2008;Company - Private;Internet;Information Technology;Unknown / Non-Applicable;-1
435;Data Scientist;$65K-$106K (Glassdoor est.);4.7;HG Insights;Santa Barbara, CA;Santa Barbara, CA;51 to 200 employees;2010;Company - Private;Computer Hardware & Software;Information Technology;Unknown / Non-Applicable;-1
436;Data Scientist;$55K-$98K (Glassdoor est.);2.8;1-800-FLOWERS.COM, Inc.;Carle Place, NY;Carle Place, NY;1001 to 5000 employees;1976;Company - Public;Wholesale;Business Services;$1 to $2 billion (USD);-1
437;Data Scientist;$94K-$162K (Glassdoor est.);3.5;CBS Interactive;New York, NY;San Francisco, CA;1001 to 5000 employees;1992;Subsidiary or Business Segment;TV Broadcast & Cable Networks;Media;$500 million to $1 billion (USD);NBCUniversal, Comcast, Netflix
438;Data Engineer;$63K-$120K (Glassdoor est.);3.2;Numeric, LLC;King of Prussia, PA;Chadds Ford, PA;1 to 50 employees;-1;Company - Private;Staffing & Outsourcing;Business Services;$5 to $10 million (USD);-1
439;Scientist/Senior Scientist, Autoimmune;$90K-$179K (Glassdoor est.);4.4;Rubius Therapeutics;Cambridge, MA;Cambridge, MA;201 to 500 employees;2013;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$100 to $500 million (USD);-1
440;Data Scientist;$127K-$202K (Glassdoor est.);3.3;Samba TV;San Francisco, CA;San Francisco, CA;201 to 500 employees;2008;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable;-1
441;Software Engineer - Data Visualization;$60K-$127K (Glassdoor est.);4;ClearEdge;Annapolis Junction, MD;Annapolis Junction, MD;51 to 200 employees;2002;Company - Private;Computer Hardware & Software;Information Technology;$5 to $10 million (USD);-1
442;Market Data Analyst;$31K-$57K (Glassdoor est.);3.4;SV Microwave;West Palm Beach, FL;West Palm Beach, FL;201 to 500 employees;1991;Company - Public;Telecommunications Manufacturing;Telecommunications;$50 to $100 million (USD);-1
443;Staff Data Engineer;$105K-$194K (Glassdoor est.);3.8;Sumo Logic;Austin, TX;Redwood City, CA;501 to 1000 employees;2010;Company - Private;Computer Hardware & Software;Information Technology;Unknown / Non-Applicable;Splunk, Datadog, Elastic
444;Associate Data Engineer;$45K-$86K (Glassdoor est.);3.5;EAB;Washington, DC;Washington, DC;1001 to 5000 employees;2007;Company - Private;Research & Development;Business Services;Unknown / Non-Applicable;-1
445;Data Engineer;$75K-$143K (Glassdoor est.);4.4;SpringML;Herndon, VA;Pleasanton, CA;1 to 50 employees;2015;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1
446;Staff Data Engineer;$126K-$228K (Glassdoor est.);3.7;Samsung Research America;Mountain View, CA;Mountain View, CA;1001 to 5000 employees;1988;Subsidiary or Business Segment;Computer Hardware & Software;Information Technology;$50 to $100 million (USD);Sony, LG Electronics, Nokia
447;Data Scientist;$80K-$134K (Glassdoor est.);4.7;Systems & Technology Research;Arlington, VA;Woburn, MA;201 to 500 employees;2010;Company - Private;Aerospace & Defense;Aerospace & Defense;$100 to $500 million (USD);-1
448;Data Scientist;$120K-$189K (Glassdoor est.);4.1;Netskope;Santa Clara, CA;Santa Clara, CA;501 to 1000 employees;2012;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;Skyhigh Networks, Zscaler, NortonLifeLock
449;Data Scientist;$85K-$142K (Glassdoor est.);4;Lorven Technologies Inc;Santa Clara, CA;Plainsboro, NJ;1 to 50 employees;-1;Company - Private;Accounting;Accounting & Legal;Less than $1 million (USD);-1
450;Senior Data Scientist;$95K-$154K (Glassdoor est.);3.5;Brighthouse Financial;Charlotte, NC;Charlotte, NC;1001 to 5000 employees;2017;Company - Public;Insurance Carriers;Insurance;Unknown / Non-Applicable;-1
451;Data Scientist;$111K-$176K (Glassdoor est.);2.5;CareDx;Brisbane, CA;Brisbane, CA;1 to 50 employees;-1;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;Unknown / Non-Applicable;Sequenom
452;Data Scientist;$87K-$140K (Glassdoor est.);3.9;Serigor Inc.;San Francisco, CA;Baltimore, MD;1 to 50 employees;-1;Company - Private;IT Services;Information Technology;Less than $1 million (USD);-1
453;Data Scientist;$76K-$127K (Glassdoor est.);3.4;Leidos;Springfield, VA;Reston, VA;10000+ employees;1969;Company - Public;Aerospace & Defense;Aerospace & Defense;$10+ billion (USD);-1
454;Data Analyst, Performance Partnership;$54K-$92K (Glassdoor est.);3.6;Beckman Coulter Diagnostics;New York, NY;Brea, CA;10000+ employees;1935;Subsidiary or Business Segment;Health Care Products Manufacturing;Manufacturing;$2 to $5 billion (USD);Abbott Laboratories, Roche, Thermo Fisher Scientific
455;Data Scientist;$61K-$100K (Glassdoor est.);3.5;IHS Markit;New York, NY;London, United Kingdom;10000+ employees;2016;Company - Public;Consulting;Business Services;$2 to $5 billion (USD);Thomson Reuters, International Data Group
456;Data Scientist;$81K-$140K (Glassdoor est.);-1;ALIN;New York, NY;Noida, India;Unknown;-1;Company - Private;-1;-1;Unknown / Non-Applicable;-1
457;Staff BI and Data Engineer;$80K-$148K (Glassdoor est.);2.9;Affinity Solutions;San Jose, CA;New York, NY;51 to 200 employees;1998;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable;Commerce Signals, Cardlytics, Yodlee
458;Data Scientist;$108K-$171K (Glassdoor est.);3.5;e-IT Professionals Corp.;Foster City, CA;Canton, MI;51 to 200 employees;-1;Company - Private;Health, Beauty, & Fitness;Consumer Services;$5 to $10 million (USD);-1
459;Data Scientist;$112K-$179K (Glassdoor est.);4.8;TechProjects;New York, NY;North Brunswick, NJ;1 to 50 employees;2011;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable;-1
460;Data Scientist;$63K-$111K (Glassdoor est.);4;Biz2Credit Inc;New York, NY;New York, NY;201 to 500 employees;2007;Company - Private;Lending;Finance;$100 to $500 million (USD);Fundera, Bond Street, OnDeck
461;Data Scientist;$75K-$126K (Glassdoor est.);4.2;PeoplesBank;Holyoke, MA;Holyoke, MA;201 to 500 employees;1885;Company - Private;Banks & Credit Unions;Finance;$50 to $100 million (USD);-1
462;Data Scientist Manager;$110K-$184K (Glassdoor est.);3.8;Capgemini;New York, NY;Paris, France;10000+ employees;1967;Company - Public;Enterprise Software & Network Solutions;Information Technology;$10+ billion (USD);Accenture, CGI, Sopra Steria
463;Data Engineer;$76K-$145K (Glassdoor est.);3.7;GNY Insurance Companies;New York, NY;New York, NY;201 to 500 employees;1914;Company - Private;Insurance Carriers;Insurance;$100 to $500 million (USD);Travelers, Chubb, Crum & Forster
464;Marketing Data Analyst;$36K-$62K (Glassdoor est.);3.9;Citadel Federal Credit Union;Exton, PA;Exton, PA;501 to 1000 employees;1937;Nonprofit Organization;Banks & Credit Unions;Finance;Unknown / Non-Applicable;TruMark Financial, North Island Credit Union, CommunityAmerica Credit Union
465;Data Scientist;$70K-$118K (Glassdoor est.);4.6;Conch Technologies, Inc;Waltham, MA;Memphis, TN;51 to 200 employees;-1;Company - Private;Consulting;Business Services;$5 to $10 million (USD);-1
466;Senior Data Scientist;$94K-$153K (Glassdoor est.);4.3;Medidata Solutions;New York, NY;New York, NY;1001 to 5000 employees;1999;Company - Public;Enterprise Software & Network Solutions;Information Technology;$500 million to $1 billion (USD);Oracle
467;Principal Scientist, Hematology;$54K-$115K (Glassdoor est.);3.3;Rochester Regional Health;Rochester, NY;Rochester, NY;10000+ employees;2014;Hospital;Health Care Services & Hospitals;Health Care;$500 million to $1 billion (USD);-1
468;Data Analyst;$50K-$92K (Glassdoor est.);3.7;CALIBRE Systems;Alexandria, VA;Alexandria, VA;501 to 1000 employees;1989;Company - Private;IT Services;Information Technology;$100 to $500 million (USD);CSC, Booz Allen Hamilton, ManTech
469;Software Data Engineer - College;$49K-$97K (Glassdoor est.);4;HP Inc.;Corvallis, OR;Palo Alto, CA;10000+ employees;1939;Company - Public;Computer Hardware & Software;Information Technology;Unknown / Non-Applicable;-1
470;Director - Data, Privacy and AI Governance;$67K-$135K (Glassdoor est.);3.6;MassMutual;Boston, MA;Springfield, MA;5001 to 10000 employees;1851;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);-1
471;Staff Machine Learning Engineer;$138K-$224K (Glassdoor est.);3.9;Tapjoy;San Francisco, CA;San Francisco, CA;201 to 500 employees;2007;Company - Private;Internet;Information Technology;$10 to $25 million (USD);FLURRY, Chartboost
472;Data Scientist;$80K-$139K (Glassdoor est.);3.7;Northrop Grumman;San Diego, CA;Falls Church, VA;10000+ employees;1939;Company - Public;Aerospace & Defense;Aerospace & Defense;$10+ billion (USD);-1
473;Lead Data Scientist;$158K-$211K (Glassdoor est.);3.7;Visa Inc.;Bellevue, WA;Foster City, CA;10000+ employees;1958;Company - Public;IT Services;Information Technology;$10+ billion (USD);American Express, Mastercard, Discover
474;Senior Data Scientist - Algorithms;$150K-$180K (Glassdoor est.);3.9;Quartet Health;New York, NY;New York, NY;201 to 500 employees;2014;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1
475;Information Security Data Analyst;$42K-$80K (Glassdoor est.);3.7;Motorola Solutions;Chicago, IL;Chicago, IL;10000+ employees;1928;Company - Public;Computer Hardware & Software;Information Technology;$5 to $10 billion (USD);Cisco Systems, Huawei Technologies, IBM
476;Lead Data Engineer;$190K-$220K(Employer est.);4.1;Credit Sesame;Mountain View, CA;Mountain View, CA;51 to 200 employees;2010;Company - Private;Internet;Information Technology;$50 to $100 million (USD);Credit Karma, LendUp, SoFi
477;Data Analyst;$42K-$77K (Glassdoor est.);3.1;Success Academy Charter Schools;New York, NY;New York, NY;1001 to 5000 employees;2006;School / School District;K-12 Education;Education;$100 to $500 million (USD);-1
478;Scientist Manufacturing - Kentucky BioProcessing;$68K-$139K (Glassdoor est.);3.1;Reynolds American;Owensboro, KY;Winston-Salem, NC;5001 to 10000 employees;1875;Company - Private;Consumer Products Manufacturing;Manufacturing;$10+ billion (USD);-1
479;Consultant - Analytics Consulting;$54K-$71K (Glassdoor est.);3;Infosys;Hartford, CT;Bengaluru, India;10000+ employees;1981;Company - Public;IT Services;Information Technology;$10+ billion (USD);Tata Consultancy Services, Accenture, Cognizant Technology Solutions
480;Data Analytics Project Manager;$34K-$92K (Glassdoor est.);3.6;MassMutual;Springfield, MA;Springfield, MA;5001 to 10000 employees;1851;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);-1
481;Data Analyst;$47K-$85K (Glassdoor est.);3.6;AXION Healthcare Solutions;New York, NY;New York, NY;1 to 50 employees;1980;Company - Private;Health Care Services & Hospitals;Health Care;$10 to $25 million (USD);The Execu|Search Group, Prime Staffing
482;Data Engineer;$65K-$124K (Glassdoor est.);3.5;Alignment Healthcare;Orange, CA;Orange, CA;501 to 1000 employees;2013;Company - Private;Health Care Services & Hospitals;Health Care;Unknown / Non-Applicable;-1
483;Data Scientist;$56K-$95K (Glassdoor est.);4.2;ExecOnline;New York, NY;New York, NY;51 to 200 employees;2012;Company - Private;Education Training Services;Education;Unknown / Non-Applicable;Harvard Business School, Coursera, edX
484;Machine Learning Engineer;$62K-$112K (Glassdoor est.);4;Mteq;Fort Belvoir, VA;Lorton, VA;501 to 1000 employees;1954;Company - Public;Aerospace & Defense;Aerospace & Defense;$100 to $500 million (USD);Harris, Fibertek
485;Senior Data Scientist Oncology;$107K-$173K (Glassdoor est.);3.9;AstraZeneca;Gaithersburg, MD;Cambridge, United Kingdom;10000+ employees;1913;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Roche, GlaxoSmithKline, Novartis
486;Data Scientist;$64K-$108K (Glassdoor est.);3.7;Brillient;Silver Spring, MD;Reston, VA;201 to 500 employees;2006;Company - Private;IT Services;Information Technology;$25 to $50 million (USD);-1
487;Senior Data Scientist;$89K-$144K (Glassdoor est.);4.4;Entefy;Palo Alto, CA;Palo Alto, CA;1 to 50 employees;2012;Company - Private;Internet;Information Technology;Unknown / Non-Applicable;-1
488;Senior Scientist (Neuroscience);$109K-$200K (Glassdoor est.);3.5;Sunovion;Marlborough, MA;Marlborough, MA;1001 to 5000 employees;2010;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $2 billion (USD);Shire, GlaxoSmithKline, Allergan
489;Machine Learning Engineer - Regulatory;$61K-$113K (Glassdoor est.);3.7;Cboe Global Markets;Lenexa, KS;Chicago, IL;501 to 1000 employees;1973;Company - Public;Stock Exchanges;Finance;$500 million to $1 billion (USD);-1
490;Marketing Data Analyst;$35K-$62K (Glassdoor est.);3.6;San Manuel Casino;Highland, CA;Highland, CA;1001 to 5000 employees;1986;Company - Private;Gambling;Arts, Entertainment & Recreation;$100 to $500 million (USD);-1
491;Data Engineer;$55K-$105K (Glassdoor est.);3.4;Trace3;Houston, TX;Irvine, CA;501 to 1000 employees;2002;Company - Private;IT Services;Information Technology;$1 to $2 billion (USD);World Wide Technology, Presidio, Optiv
492;Medical Laboratory Scientist;$18-$25 Per Hour(Glassdoor est.);4;Texas Health Huguley Hospital;Burleson, TX;Arlington, TX;1001 to 5000 employees;1977;Hospital;Health Care Services & Hospitals;Health Care;$50 to $100 million (USD);-1
493;R&D Specialist/ Food Scientist;$39K-$66K (Glassdoor est.);2.4;Teasdale Latin Foods;Hoopeston, IL;Flower Mound, TX;501 to 1000 employees;-1;Company - Private;Food & Beverage Manufacturing;Manufacturing;$100 to $500 million (USD);-1
494;Principal Data Scientist;$135K-$211K (Glassdoor est.);3.7;Northrop Grumman;San Jose, CA;Falls Church, VA;10000+ employees;1939;Company - Public;Aerospace & Defense;Aerospace & Defense;$10+ billion (USD);-1
495;Data Engineer;$57K-$80K (Glassdoor est.);3.5;Saama Technologies Inc;Phoenix, AZ;Campbell, CA;501 to 1000 employees;1997;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;Unknown / Non-Applicable;Accenture, Deloitte, IBM
496;Data Scientist - Alpha Insights;$129K-$215K (Glassdoor est.);4.4;Two Sigma;New York, NY;New York, NY;1001 to 5000 employees;2001;Company - Private;Investment Banking & Asset Management;Finance;Unknown / Non-Applicable;-1
497;Data Scientist, Office of Data Science;$86K-$143K (Glassdoor est.);3.3;Liberty Mutual Insurance;Boston, MA;Boston, MA;10000+ employees;1912;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);Travelers, Allstate, State Farm
498;Associate Principal Scientist, Pharmacogenomics;$63K-$127K (Glassdoor est.);3.9;AstraZeneca;Gaithersburg, MD;Cambridge, United Kingdom;10000+ employees;1913;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Roche, GlaxoSmithKline, Novartis
499;Data Scientist - Systems Engineering;$50K-$89K (Glassdoor est.);3.2;MITRE;Bedford, MA;Bedford, MA;5001 to 10000 employees;1958;Nonprofit Organization;Federal Agencies;Government;$1 to $2 billion (USD);Battelle, General Atomics, SAIC
500;Data Engineer;$43K-$86K (Glassdoor est.);3.2;Guidepoint;New York, NY;New York, NY;501 to 1000 employees;2003;Company - Private;Research & Development;Business Services;Unknown / Non-Applicable;Coleman Research, AlphaSights, Third Bridge
501;Scientist, Bacteriology;$74K-$149K (Glassdoor est.);2.1;Cerus Corporation;Concord, CA;Concord, CA;201 to 500 employees;-1;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$25 to $50 million (USD);-1
502;Data Scientist;$71K-$124K (Glassdoor est.);4;Strategic Financial Solutions;New York, NY;New York, NY;501 to 1000 employees;2007;Company - Private;Consumer Product Rental;Consumer Services;Unknown / Non-Applicable;National Debt Relief, Freedom Financial Network
503;Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence;$113K-$196K (Glassdoor est.);3.7;Takeda Pharmaceuticals;Cambridge, MA;OSAKA, Japan;10000+ employees;1781;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Novartis, Baxter, Pfizer
504;Senior Research Scientist-Machine Learning;$81K-$167K (Glassdoor est.);2.6;Software Engineering Institute;Pittsburgh, PA;Pittsburgh, PA;501 to 1000 employees;1984;College / University;Colleges & Universities;Education;Unknown / Non-Applicable;-1
505;Data Scientist;$69K-$121K (Glassdoor est.);3.4;Remedy BPCI Partners, LLC.;New York, NY;Norwalk, CT;201 to 500 employees;2011;Company - Private;Health Care Services & Hospitals;Health Care;Unknown / Non-Applicable;Healthfirst (New York), naviHealth
506;Senior Data Scientist;$97K-$160K (Glassdoor est.);4.4;Maven Wave Partners;Chicago, IL;Chicago, IL;201 to 500 employees;2008;Company - Private;Consulting;Business Services;$50 to $100 million (USD);-1
