Column1;Job Title;Salary Estimate;Rating;Company Name;Location;Headquarters;Size;Founded;Type of ownership;Industry;Sector;Revenue
89;Data Management Specialist;$31K-$65K (Glassdoor est.);4.5;NMR Consulting;Huntsville, AL;Chantilly, VA;51 to 200 employees;1996;Company - Private;IT Services;Information Technology;$25 to $50 million (USD)
90;E-Commerce Data Analyst;$34K-$62K (Glassdoor est.);3.5;iSeatz;New Orleans, LA;New Orleans, LA;51 to 200 employees;1999;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable
91;Sr. Scientist II;$117K-$231K (Glassdoor est.);3.5;Nektar Therapeutics;San Francisco, CA;San Francisco, CA;201 to 500 employees;1990;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$100 to $500 million (USD)
92;Insurance Data Scientist;$64K-$106K (Glassdoor est.);3.9;TransUnion;Atlanta, GA;Chicago, IL;5001 to 10000 employees;1968;Company - Public;Financial Analytics & Research;Finance;$1 to $2 billion (USD)
93;Data Modeler;$79K-$134K (Glassdoor est.);4.7;IT Concepts;Landover, MD;Vienna, VA;51 to 200 employees;2003;Company - Private;IT Services;Information Technology;$10 to $25 million (USD)
94;Data Analyst / Scientist;$52K-$93K (Glassdoor est.);4.2;Scientific Research Corporation;Patuxent River, MD;Atlanta, GA;1001 to 5000 employees;1988;Company - Private;IT Services;Information Technology;$100 to $500 million (USD)
95;Scientist;$55K-$116K (Glassdoor est.);3.4;General Dynamics Information Technology;Suitland, MD;Fairfax, VA;10000+ employees;1996;Subsidiary or Business Segment;IT Services;Information Technology;$10+ billion (USD)
96;Data Scientist;$72K-$123K (Glassdoor est.);3.2;MITRE;McLean, VA;Bedford, MA;5001 to 10000 employees;1958;Nonprofit Organization;Federal Agencies;Government;$1 to $2 billion (USD)
97;Data Scientist;$74K-$124K (Glassdoor est.);3.9;The Buffalo Group;Fort Belvoir, VA;Reston, VA;501 to 1000 employees;2010;Company - Private;IT Services;Information Technology;$100 to $500 million (USD)
98;Data Analyst;$40K-$73K (Glassdoor est.);3.1;DentaQuest;Milwaukee, WI;Boston, MA;1001 to 5000 employees;2001;Company - Private;Insurance Carriers;Insurance;$2 to $5 billion (USD)
99;Lead Data Scientist;$102K-$164K (Glassdoor est.);4.1;Redjack;Silver Spring, MD;Silver Spring, MD;1 to 50 employees;2007;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable
100;Data Scientist;$89K-$153K (Glassdoor est.);3.8;7Park Data;New York, NY;New York, NY;51 to 200 employees;2012;Company - Private;Research & Development;Business Services;Unknown / Non-Applicable
